Gender,Race,Age,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
F,Hispanic,70-74,388840,403739,420640,443083,466154,491722,519796,558393,593534,628971
F,Hispanic,75-79,293172,303871,315488,329956,345525,360268,375911,393190,414619,435495
F,Hispanic,80-85,211109,221058,230303,238168,246002,255407,265888,276978,290408,304096
F,Hispanic,85+,175950,189420,203140,217764,233694,251664,268487,284626,300469,315545
ALL,Black,ALL,40396839,40858099,41331304,41790363,42262411,42738615,43209518,43646377,44035275,44419767
ALL,Black,0-4,3274032,3275774,3255116,3233314,3236460,3247049,3253301,3250273,3230351,3201566
ALL,Black,5-9,3171380,3173331,3214038,3266605,3293657,3311184,3317623,3301210,3280024,3282135
ALL,Black,10-14,3280531,3289219,3276636,3252167,3236594,3210289,3214823,3257827,3310675,3337328
ALL,Black,15-19,3605120,3524401,3447282,3383825,3335795,3333829,3344423,3332809,3306447,3289072
ALL,Black,20-24,3239219,3399172,3546789,3654816,3700985,3668362,3589487,3512978,3447304,3396749
ALL,Black,25-29,2849475,2887740,2938759,3015377,3145237,3299600,3465183,3610121,3712220,3753180
ALL,Black,30-34,2685416,2756052,2812639,2862878,2888752,2904327,2947461,2998438,3072887,3199073
ALL,Black,35-39,2630385,2572326,2563620,2581016,2636034,2716384,2789645,2846264,2895090,2919013
ALL,Black,40-44,2681289,2694195,2705380,2697467,2677568,2636290,2581882,2572084,2587257,2638723
ALL,Black,45-49,2838805,2810100,2766537,2720074,2666698,2653334,2668886,2680623,2672382,2652449
ALL,Black,50-54,2718153,2753189,2765186,2778679,2784573,2770599,2744089,2702053,2657101,2605445
ALL,Black,55-59,2233532,2310688,2405849,2482927,2546995,2607085,2642398,2654840,2667850,2673767
ALL,Black,60-64,1717371,1836874,1894149,1954886,2025965,2098578,2171319,2260333,2331886,2391732
ALL,Black,65-69,1174146,1211325,1300241,1381498,1474614,1576833,1684861,1734578,1788201,1852436
ALL,Black,70-74,859129,883563,917700,961717,1002891,1041416,1075815,1156146,1229175,1312141
ALL,Black,75-79,621700,643246,660736,678797,698674,722022,744489,773618,812257,848069
ALL,Black,80-85,428075,434000,443071,454569,466615,480553,499052,513124,528692,545046
ALL,Black,85+,389081,402904,417576,429751,444304,460881,474781,489058,505476,521843
M,Black,ALL,19261108,19494741,19735482,19966958,20203911,20444313,20677919,20892602,21082356,21272051
M,Black,0-4,1658810,1661024,1650599,1640571,1642398,1647871,1649076,1646601,1636232,1622980
M,Black,5-9,1607870,1607999,1628992,1654800,1668029,1676739,1681449,1673184,1663135,1664226
M,Black,10-14,1664922,1669300,1662359,1648679,1639659,1625577,1627070,1649551,1675891,1689220
M,Black,15-19,1828689,1790524,1750491,1716358,1691640,1690372,1695587,1689123,1674293,1664191
M,Black,20-24,1598094,1686339,1771410,1836450,1867882,1857779,1820503,1780345,1744627,1718460
M,Black,25-29,1366825,1391475,1424257,1469191,1540553,1624759,1715634,1797574,1858628,1887008
M,Black,30-34,1270142,1305748,1336032,1363565,1380058,1392714,1419891,1451742,1494583,1563307
M,Black,35-39,1234481,1208484,1205104,1215624,1243691,1284451,1321400,1351109,1377541,1392581
M,Black,40-44,1264739,1268516,1273385,1267615,1256454,1236389,1212155,1207227,1215799,1241555
M,Black,45-49,1335980,1322560,1301347,1278931,1253523,1247006,1252085,1257073,1251098,1239812
M,Black,50-54,1271951,1288549,1294224,1299672,1302349,1295661,1283398,1262842,1241252,1216675
M,Black,55-59,1022979,1060273,1105817,1144049,1176000,1204907,1221612,1227384,1232500,1234988
M,Black,60-64,771857,824242,848476,875138,906737,940594,975132,1017126,1052421,1081953
M,Black,65-69,509127,526677,566504,603114,643807,688640,734295,754061,776379,803943
M,Black,70-74,357323,367728,382828,401367,418657,435446,450902,485851,517519,552435
M,Black,75-79,240093,249977,258308,266556,275986,286100,295147,307393,323108,337609
M,Black,80-85,148027,151179,155632,161261,167198,173647,181630,187904,194533,201878
M,Black,85+,109199,114147,119717,124017,129290,135661,140953,146512,152817,159230
F,Black,ALL,21135731,21363358,21595822,21823405,22058500,22294302,22531599,22753775,22952919,23147716
F,Black,0-4,1615222,1614750,1604517,1592743,1594062,1599178,1604225,1603672,1594119,1578586
F,Black,5-9,1563510,1565332,1585046,1611805,1625628,1634445,1636174,1628026,1616889,1617909
F,Black,10-14,1615609,1619919,1614277,1603488,1596935,1584712,1587753,1608276,1634784,1648108
F,Black,15-19,1776431,1733877,1696791,1667467,1644155,1643457,1648836,1643686,1632154,1624881
F,Black,20-24,1641125,1712833,1775379,1818366,1833103,1810583,1768984,1732633,1702677,1678289
F,Black,25-29,1482650,1496265,1514502,1546186,1604684,1674841,1749549,1812547,1853592,1866172
F,Black,30-34,1415274,1450304,1476607,1499313,1508694,1511613,1527570,1546696,1578304,1635766
F,Black,35-39,1395904,1363842,1358516,1365392,1392343,1431933,1468245,1495155,1517549,1526432
F,Black,40-44,1416550,1425679,1431995,1429852,1421114,1399901,1369727,1364857,1371458,1397168
F,Black,45-49,1502825,1487540,1465190,1441143,1413175,1406328,1416801,1423550,1421284,1412637
F,Black,50-54,1446202,1464640,1470962,1479007,1482224,1474938,1460691,1439211,1415849,1388770
F,Black,55-59,1210553,1250415,1300032,1338878,1370995,1402178,1420786,1427456,1435350,1438779
F,Black,60-64,945514,1012632,1045673,1079748,1119228,1157984,1196187,1243207,1279465,1309779
F,Black,65-69,665019,684648,733737,778384,830807,888193,950566,980517,1011822,1048493
F,Black,70-74,501806,515835,534872,560350,584234,605970,624913,670295,711656,759706
F,Black,75-79,381607,393269,402428,412241,422688,435922,449342,466225,489149,510460
F,Black,80-85,280048,282821,287439,293308,299417,306906,317422,325220,334159,343168
F,Black,85+,279882,288757,297859,305734,315014,325220,333828,342546,352659,362613
ALL,Other,ALL,25300265,25966841,26652507,27348918,28087186,28855628,29602100,30294284,30858856,31419961
ALL,Other,0-4,2055739,2062523,2067658,2077909,2099560,2125370,2155173,2167291,2151890,2135627
ALL,Other,5-9,1988408,2024215,2075720,2117828,2143368,2169626,2180955,2189353,2196332,2210970
ALL,Other,10-14,1880512,1917763,1947916,1991997,2042493,2083151,2118972,2168527,2204864,2223520
ALL,Other,15-19,1946981,1946191,1954536,1974103,1997432,2036091,2074951,2102593,2136182,2176817
ALL,Other,20-24,2016154,2097708,2170597,2218715,2253808,2271503,2277051,2281791,2278485,2277540
ALL,Other,25-29,2071978,2122053,2163264,2216595,2298399,2393418,2493407,2572001,2601725,2611033
ALL,Other,30-34,1996902,2056897,2130185,2207146,2279039,2340149,2408461,2457788,2501760,2565040
ALL,Other,35-39,1975040,1993468,2015811,2041904,2085819,2151536,2221009,2300559,2375226,2437907
ALL,Other,40-44,1797952,1865959,1942014,1996545,2036068,2064869,2087762,2112003,2133544,2169635
ALL,Other,45-49,1702484,1728185,1744700,1760837,1792107,1851701,1919841,1994198,2044201,2077848
ALL,Other,50-54,1546884,1579946,1613056,1659005,1706856,1730192,1754633,1769246,1780842,1806703
ALL,Other,55-59,1289312,1351858,1411994,1466163,1511815,1561403,1595324,1627497,1668874,1710674
ALL,Other,60-64,1033259,1100522,1143238,1191169,1242064,1295009,1357760,1416330,1466354,1507057
ALL,Other,65-69,701908,743577,809670,877270,948138,1026227,1092793,1135236,1179964,1226009
ALL,Other,70-74,509877,538839,571693,604961,643017,681313,722036,785582,849291,914641
ALL,Other,75-79,355160,374934,396548,419450,445085,473752,501200,531743,562216,596309
ALL,Other,80-85,237812,250928,263822,278113,292253,307230,325438,344722,365061,387100
ALL,Other,85+,193903,211275,230085,249208,269865,293088,315334,337824,362045,385531
M,Other,ALL,12264898,12585934,12919774,13260200,13620226,13996655,14362290,14700225,14977070,15252389
M,Other,0-4,1047955,1052160,1055438,1062338,1075103,1090031,1105149,1111542,1103262,1094533
M,Other,5-9,1002081,1022000,1050662,1074442,1089543,1104730,1111958,1117320,1122788,1132099
M,Other,10-14,951877,970372,985012,1006537,1030735,1050917,1070459,1098201,1119294,1131080
M,Other,15-19,993800,992459,994615,1002722,1013242,1031382,1049883,1062633,1078588,1097938
M,Other,20-24,1022884,1064044,1103136,1129258,1148050,1157437,1160208,1160554,1156575,1154293
M,Other,25-29,1008148,1037358,1062231,1093423,1137758,1189558,1241983,1284380,1302334,1309936
M,Other,30-34,956538,983600,1020367,1059776,1097993,1131240,1170586,1199426,1226203,1261698
M,Other,35-39,946288,955366,964529,976193,996266,1027579,1061286,1102466,1141165,1174769
M,Other,40-44,859391,890315,925659,951093,969693,983843,994902,1004956,1014725,1031620
M,Other,45-49,811128,824125,831403,837994,853227,880569,912099,946867,970474,986323
M,Other,50-54,727444,743962,760663,782972,805617,817517,830187,836873,841898,854921
M,Other,55-59,594847,624775,654028,680361,702427,726548,742834,758677,779100,799202
M,Other,60-64,474019,503052,521642,542742,565374,589412,619031,646938,670944,690768
M,Other,65-69,321771,340253,369725,399336,430489,464563,492242,509867,529162,549418
M,Other,70-74,231676,245040,259629,274434,290713,306898,324747,352830,380400,408691
M,Other,75-79,150737,160891,172047,184018,196640,210534,223056,236423,249902,264289
M,Other,80-85,93707,99510,105436,112034,119046,126687,135934,145627,155957,166580
M,Other,85+,70607,76652,83552,90527,98310,107210,115746,124645,134299,144231
F,Other,ALL,13035367,13380907,13732733,14088718,14466960,14858973,15239810,15594059,15881786,16167572
F,Other,0-4,1007784,1010363,1012220,1015571,1024457,1035339,1050024,1055749,1048628,1041094
F,Other,5-9,986327,1002215,1025058,1043386,1053825,1064896,1068997,1072033,1073544,1078871
F,Other,10-14,928635,947391,962904,985460,1011758,1032234,1048513,1070326,1085570,1092440
F,Other,15-19,953181,953732,959921,971381,984190,1004709,1025068,1039960,1057594,1078879
F,Other,20-24,993270,1033664,1067461,1089457,1105758,1114066,1116843,1121237,1121910,1123247
F,Other,25-29,1063830,1084695,1101033,1123172,1160641,1203860,1251424,1287621,1299391,1301097
F,Other,30-34,1040364,1073297,1109818,1147370,1181046,1208909,1237875,1258362,1275557,1303342
F,Other,35-39,1028752,1038102,1051282,1065711,1089553,1123957,1159723,1198093,1234061,1263138
F,Other,40-44,938561,975644,1016355,1045452,1066375,1081026,1092860,1107047,1118819,1138015
F,Other,45-49,891356,904060,913297,922843,938880,971132,1007742,1047331,1073727,1091525
F,Other,50-54,819440,835984,852393,876033,901239,912675,924446,932373,938944,951782
F,Other,55-59,694465,727083,757966,785802,809388,834855,852490,868820,889774,911472
F,Other,60-64,559240,597470,621596,648427,676690,705597,738729,769392,795410,816289
F,Other,65-69,380137,403324,439945,477934,517649,561664,600551,625369,650802,676591
F,Other,70-74,278201,293799,312064,330527,352304,374415,397289,432752,468891,505950
F,Other,75-79,204423,214043,224501,235432,248445,263218,278144,295320,312314,332020
F,Other,80-85,144105,151418,158386,166079,173207,180543,189504,199095,209104,220520
F,Other,85+,123296,134623,146533,158681,171555,185878,199588,213179,227746,241300
ALL,ALL,ALL,317064768,319549481,322075496,324493691,327063138,329664864,332239129,334542712,336492923,338287588
ALL,ALL,0-4,21422806,21377317,21239406,21118372,21151481,21203665,21217556,21192621,21060795,20868374
ALL,ALL,5-9,21374617,21410828,21591251,21737495,21720851,21717950,21696532,21581683,21466851,21483910
ALL,ALL,10-14,21599819,21658720,21638335,21644308,21687075,21654723,21707319,21900049,22047047,22011620
ALL,ALL,15-19,22785891,22487359,22221217,22054577,21955624,22011737,22087093,22075059,22069654,22086565
ALL,ALL,20-24,22334407,22831434,23299622,23564721,23665005,23492078,23194340,22915152,22705074,22553388
ALL,ALL,25-29,21684497,21833930,21952594,22155358,22563691,23056934,23603344,24062313,24282947,24318462
ALL,ALL,30-34,20536876,21003150,21414318,21790934,22037755,22179975,22383670,22515392,22698891,23057115
ALL,ALL,35-39,20470992,19998246,19903334,20033700,20321315,20779603,21275845,21695477,22065438,22284380
ALL,ALL,40-44,21251843,21397907,21395618,21225508,20921152,20528697,20082509,19992909,20114722,20373866
ALL,ALL,45-49,22967035,22494702,22017393,21537751,21159242,21111510,21271773,21274376,21102439,20788438
ALL,ALL,50-54,22647614,22869076,22884723,22866294,22836216,22581226,22127163,21661377,21189613,20811277
ALL,ALL,55-59,20023639,20499035,21022273,21440489,21737115,22023610,22240181,22253665,22231502,22197155
ALL,ALL,60-64,17163111,17997652,18000557,18307026,18737702,19234699,19685544,20177802,20567438,20842367
ALL,ALL,65-69,12637048,13001090,14115149,14736318,15451083,16196113,16978031,16976939,17259772,17657546
ALL,ALL,70-74,9415805,9692401,10102376,10698323,11160468,11564970,11904640,12938783,13518387,14174420
ALL,ALL,75-79,7375558,7447139,7555301,7745681,7983590,8181926,8438939,8802605,9338766,9745249
ALL,ALL,80-85,5796774,5817421,5820297,5804581,5799845,5839460,5916470,6010102,6177431,6373872
